Workload,time,instruction,cpu-cycle,armv8_pmuv3/stall_backen,armv8_pmuv3/stall_fronten,armv8_pmuv3/br_mis_pre,armv8_pmuv3/br_pre,armv8_pmuv3/br_retire,armv8_pmuv3/inst_spe,armv8_pmuv3/inst_retire,armv8_pmuv3/l1d_cach,armv8_pmuv3/l1d_cache_refil,armv8_pmuv3/l1d_cache_w,armv8_pmuv3/l1d_tl,armv8_pmuv3/l1d_tlb_refil,armv8_pmuv3/l1i_cach,armv8_pmuv3/l1i_cache_refil,armv8_pmuv3/l1i_tl,armv8_pmuv3/l1i_tlb_refil,armv8_pmuv3/l2d_cach,armv8_pmuv3/l2d_cache_allocat,armv8_pmuv3/l2d_cache_refil,armv8_pmuv3/l2d_cache_w,armv8_pmuv3/l2d_tl,armv8_pmuv3/l2d_tlb_refil,armv8_pmuv3/l3d_cach,armv8_pmuv3/l3d_cache_allocat,armv8_pmuv3/l3d_cache_refil,armv8_pmuv3/l3d_cache_w,armv8_pmuv3/mem_acces,IPC
500,765.55,2.05629E+12,7.87475E+11,2.39047E+11,42203655618,2742794142,3.83279E+11,3.69435E+11,2.26216E+12,2.06259E+12,9.73816E+11,5142023251,1245558382,1.01083E+12,5136397284,4.87933E+11,3545439350,2.54061E+11,700714580,14898517843,2671610,1415410174,4327542748,5815700481,244016737,11165207980,4415345480,3827455241,0,9.76073E+11,2.611239076
502,511.55,7.98224E+11,4.64223E+11,1.83713E+11,55585836001,3200184632,1.94444E+11,1.82138E+11,9.50357E+11,8.00182E+11,3.2776E+11,7378327153,1981198640,3.89543E+11,7135676402,2.24033E+11,3028560907,1.38614E+11,927969361,31523437837,89112646,3158370255,12822149974,8475981594,479767289,29109406977,12697061144,7944023373,0,3.27606E+11,1.71948529
503,663.69,1.12666E+12,5.50409E+11,2.45149E+11,1902203482,115265384,67798845377,67186652889,1.13321E+12,1.12761E+12,4.93616E+11,50162063818,7749665247,7.31629E+11,635713479,1.91243E+11,93715399,3033974769,18462446,1.61941E+11,1377618,3217505780,20385946757,684941243,543150287,59708512078,20494198471,33652900560,0,4.93646E+11,2.046943236
505,593.43,5.87948E+11,5.06799E+11,1.82301E+11,74965077554,9029368202,1.94192E+11,1.29415E+11,1.13606E+12,5.9056E+11,3.1077E+11,23031480463,3920291936,3.95323E+11,12817482940,2.58395E+11,81613407,1.26515E+11,10683540,66731070644,527600,10411674702,36438449707,12814374882,842868845,78488177846,36420769209,19174629509,0,3.06726E+11,1.160121504
507,512.24,9.03508E+11,4.53168E+11,1.94216E+11,2172114888,49878066,12819295690,12797265844,9.06156E+11,9.035E+11,5.14675E+11,78036673450,7431390804,7.36447E+11,39245922767,2.15069E+11,100309577,97743589775,20387351,1.59548E+11,1594954,1629972885,7200881773,39535634564,260918574,15392038578,7048244583,4911909989,0,5.16645E+11,1.993758156
508,458.57,1.30063E+12,5.14461E+11,1.21537E+11,8295951585,1661276499,35515102558,32275246223,1.37588E+12,1.29949E+12,4.01678E+11,3586569824,1422795105,4.06462E+11,136019536,2.4424E+11,97671133,21682397344,19514642,10703435483,6829951,242292190,1251300805,158580858,20917324,2533400230,1233365024,775919227,0,4.0113E+11,2.528135675
510,742.1,2.0958E+12,7.23288E+11,1.78291E+11,45169890304,3344427013,3.11403E+11,3.06032E+11,2.2051E+12,2.09916E+12,8.02478E+11,17816888111,4007448618,9.04417E+11,2183543956,4.4748E+11,348735825,47812210998,61176194,1.12136E+11,726550997,2589260649,51726450907,2368337596,184170357,1.08263E+11,52969976535,13342163672,0,8.02126E+11,2.897598453
511,841,2.62711E+12,9.46336E+11,1.82887E+11,37863085616,4298702473,4.56831E+11,4.26231E+11,3.0244E+12,2.63962E+12,1.18476E+12,16985650991,3611006194,1.26635E+12,11298257315,6.23011E+11,491868312,2.59395E+11,81687770,40469491374,146864,183263852,610301892,8678805980,19424162,1268752978,632344208,27223236,0,1.18777E+12,2.77608913
519,464.58,7.58864E+11,4.04473E+11,1.36507E+11,1207910895,49554295,9429456491,9262664444,7.61197E+11,7.58852E+11,1.85802E+11,30467258474,30400000301,2.07958E+11,549225477,1.28275E+11,96353271,2295409309,20462865,73099474807,158477,1762005303,18110437829,573953098,252929650,42196861962,18090247812,19656106426,0,1.85847E+11,1.876180611
520,1032.23,6.78899E+11,8.34118E+11,4.80822E+11,1.25099E+11,3440757861,1.61998E+11,1.38056E+11,9.02104E+11,6.59721E+11,3.15017E+11,13378609678,5602549905,3.96132E+11,22405067398,2.19675E+11,393270550,1.68748E+11,284008410,32338095904,88863,8864337853,27226321639,23019758615,4122973197,54910632178,26915006138,15006514323,0,3.09655E+11,0.813912626
521,638.99,1.31539E+12,5.99309E+11,2.12942E+11,16228861506,1419654784,1.23867E+11,1.21371E+11,1.38326E+12,1.31936E+12,3.83437E+11,16307937965,10727647965,4.98675E+11,1450537197,2.44628E+11,225832541,30603740036,30962454,63076771918,13636926,2319576940,16858113709,1499822624,236545379,35951463898,16840512246,12156333892,0,3.83914E+11,2.194849888
523,544.43,7.86149E+11,5.38851E+11,3.53591E+11,27412322733,804152181,2.27737E+11,2.21823E+11,8.53948E+11,7.65714E+11,2.70481E+11,27061387580,1539413949,3.44524E+11,17338129680,1.59553E+11,690084506,61864617600,879730881,67722030151,9001187,5108564566,30749783659,18130286420,2037481108,64727165884,31316328342,6565954995,0,2.75102E+11,1.458936111
525,527.68,1.80137E+12,5.56534E+11,1.24099E+11,15772601199,1557844862,1.01039E+11,98068194983,1.87634E+12,1.8053E+12,5.05884E+11,2578324669,805152470,5.21843E+11,2303491431,3.60541E+11,2680017503,1.01648E+11,189691471,8790089165,4211907,597836566,2208944067,2509738922,69305903,4433161686,2166221007,1041366298,0,5.06579E+11,3.236762997
