Workload,time,instruction,cpu-cycle,armv8_pmuv3/stall_backen,armv8_pmuv3/stall_fronten,armv8_pmuv3/br_mis_pre,armv8_pmuv3/br_pre,armv8_pmuv3/br_retire,armv8_pmuv3/inst_spe,armv8_pmuv3/inst_retire,armv8_pmuv3/l1d_cach,armv8_pmuv3/l1d_cache_refil,armv8_pmuv3/l1d_cache_w,armv8_pmuv3/l1d_tl,armv8_pmuv3/l1d_tlb_refil,armv8_pmuv3/l1i_cach,armv8_pmuv3/l1i_cache_refil,armv8_pmuv3/l1i_tl,armv8_pmuv3/l1i_tlb_refil,armv8_pmuv3/l2d_cach,armv8_pmuv3/l2d_cache_allocat,armv8_pmuv3/l2d_cache_refil,armv8_pmuv3/l2d_cache_w,armv8_pmuv3/l2d_tl,armv8_pmuv3/l2d_tlb_refil,armv8_pmuv3/l3d_cach,armv8_pmuv3/l3d_cache_allocat,armv8_pmuv3/l3d_cache_refil,armv8_pmuv3/l3d_cache_w,armv8_pmuv3/mem_acces,IPC
500,741.17,2.03117E+12,7.88407E+11,2.3778E+11,48983805219,2728449460,3.81361E+11,3.66305E+11,2.2373E+12,2.05466E+12,9.70812E+11,5037329630,1170884587,9.95152E+11,5084136001,4.83588E+11,3648560050,2.52923E+11,665459040,14784421079,2667635,2492703947,8743158709,6003266440,254369102,19717759512,8441108253,3919037887,0,9.70554E+11,2.576292699
502,501.11,7.8802E+11,4.70286E+11,1.87367E+11,59525068322,3183055084,1.92983E+11,1.80587E+11,9.4183E+11,7.92534E+11,3.24994E+11,7266787052,1969470989,3.86968E+11,6990506959,2.21699E+11,2993383644,1.38329E+11,939903966,31173297877,118885687,4131527780,16083562588,8361968686,380313369,35441822264,15950963063,8007936765,0,3.24522E+11,1.675620912
503,636.58,1.10111E+12,5.41734E+11,2.42514E+11,2128202751,116060070,66222224508,65826587053,1.1082E+12,1.10638E+12,4.80595E+11,47591895859,7724253160,7.17015E+11,613766104,1.87161E+11,90973218,2811018758,18660702,1.55557E+11,1403752,2921763967,21410699666,648433893,508201653,60394101613,21254396994,33316443250,0,4.81958E+11,2.032571212
505,590.44,5.88628E+11,5.2185E+11,1.96668E+11,78222499105,9040945959,1.93287E+11,1.26073E+11,1.13698E+12,5.84155E+11,3.1022E+11,22749177949,3816737306,4.03668E+11,12360079485,2.56822E+11,61787087,1.26742E+11,11575922,66446646699,844811,14038259892,44301962063,12579217832,654945243,87913309313,44130569208,19837969263,0,3.07373E+11,1.127964003
507,490.62,8.76522E+11,4.41379E+11,1.86821E+11,2439377946,41077835,12685149235,12170476655,8.82874E+11,8.77398E+11,5.02157E+11,75787828735,7258181292,7.20764E+11,38248401629,2.08991E+11,88210041,95841213189,20517419,1.54519E+11,1712199,3295360514,11855504204,38440326600,134997905,24504432636,11627614681,5056215311,0,4.99687E+11,1.985870943
508,436.59,1.29441E+12,5.08126E+11,1.17179E+11,8318265147,1655992376,34911727242,31792530989,1.36867E+12,1.29512E+12,3.99045E+11,3545156254,1386248913,4.02952E+11,129400816,2.43341E+11,83311009,21432219308,15516069,10610725439,6872645,295255993,1563891054,151440155,16061330,3521063211,1713187140,771443042,0,3.99129E+11,2.547409094
510,712.02,2.09214E+12,7.21827E+11,1.77766E+11,44048780112,3336194155,3.10685E+11,3.05714E+11,2.20181E+12,2.09346E+12,7.99287E+11,17704726613,3992316268,9.0296E+11,2000234373,4.48009E+11,337940716,47521273315,61372509,1.12035E+11,755888830,3055321359,55658666552,2314104358,96252496,1.1676E+11,56697122393,14198975453,0,8.01409E+11,2.898389819
511,809.37,2.63463E+12,9.38756E+11,1.82253E+11,38098293493,4248472364,4.50621E+11,4.21666E+11,2.9996E+12,2.61818E+12,1.1784E+12,16271225617,3068475163,1.25731E+12,11322064528,6.19417E+11,738483411,2.66851E+11,82074071,40931895371,112474,539337764,7060831556,12529274470,9620482,3871025835,1598507980,22787734,0,1.1767E+12,2.806509599
519,447.88,7.4659E+11,3.98747E+11,1.34893E+11,1392346742,44584781,9094564714,9005884288,7.49302E+11,7.468E+11,1.82644E+11,30008498812,29936879914,2.00996E+11,525339624,1.26141E+11,83317508,2222979606,18225890,71920248595,196124,2158810925,18441427157,347137629,148273803,42858546407,18505272264,19974583772,0,1.82632E+11,1.872338137
520,1032.05,6.64063E+11,8.77881E+11,5.27071E+11,1.28074E+11,3497712697,1.60443E+11,1.3667E+11,9.07274E+11,6.64834E+11,3.22331E+11,13649504605,5724544760,4.14492E+11,23163618121,2.23841E+11,622429932,1.73372E+11,243776283,33137380587,117378,11209114054,26397376270,23596027364,4543554403,64147730526,32294325138,15880259559,0,3.16628E+11,0.756438786
