time,instruction,cpu-cycle,armv8_pmuv3/stall_backen,armv8_pmuv3/stall_fronten,armv8_pmuv3/br_mis_pre,armv8_pmuv3/br_pre,armv8_pmuv3/br_retire,armv8_pmuv3/inst_spe,armv8_pmuv3/inst_retire,armv8_pmuv3/l1d_cach,armv8_pmuv3/l1d_cache_refil,armv8_pmuv3/l1d_cache_w,armv8_pmuv3/l1d_tl,armv8_pmuv3/l1d_tlb_refil,armv8_pmuv3/l1i_cach,armv8_pmuv3/l1i_cache_refil,armv8_pmuv3/l1i_tl,armv8_pmuv3/l1i_tlb_refil,armv8_pmuv3/l2d_cach,armv8_pmuv3/l2d_cache_allocat,armv8_pmuv3/l2d_cache_refil,armv8_pmuv3/l2d_cache_w,armv8_pmuv3/l2d_tl,armv8_pmuv3/l2d_tlb_refil,armv8_pmuv3/l3d_cach,armv8_pmuv3/l3d_cache_allocat,armv8_pmuv3/l3d_cache_refil,armv8_pmuv3/l3d_cache_w,armv8_pmuv3/mem_acces
1.0,72534813.0,124729672.0,25645282.0,41550711.0,1830595.0,14059033.0,16282526.0,78729875.0,72824729.0,23885824.0,745869.0,813273.0,23881870.0,1226176.0,64802900.0,2212055.0,99573485.0,997263.0,4955259.0,833888.0,1284535.0,1307456.0,2338964.0,16627.0,2584871.0,1319689.0,26013.0,0.0,29341292.0
1.71,78171207.0,122937378.0,29528186.0,29062747.0,1903343.0,17506577.0,19100724.0,83419978.0,78301824.0,20565270.0,1068821.0,1268850.0,20368035.0,986900.0,66540859.0,1673629.0,93092503.0,738285.0,5056043.0,1292454.0,987290.0,1019556.0,1952140.0,7988.0,2022238.0,1021238.0,8177.0,0.0,23875248.0
4.29,84213205.0,139546639.0,30705103.0,43018609.0,2303705.0,15431448.0,18028417.0,89331518.0,82229151.0,26898734.0,775331.0,844688.0,24141686.0,1452303.0,73607292.0,2284987.0,107580992.0,1257933.0,5038687.0,830976.0,1268821.0,1316558.0,2855341.0,21089.0,2552235.0,1272424.0,17595.0,0.0,32955758.0
5.25,81933497.0,135976785.0,31861250.0,37076076.0,1804774.0,15349820.0,17850342.0,86566739.0,80731722.0,26636819.0,763935.0,845064.0,28186226.0,1419173.0,64168103.0,2125479.0,103433336.0,1037408.0,4560124.0,889570.0,1161359.0,1168290.0,2657401.0,18695.0,2300164.0,1166067.0,48043.0,0.0,32524876.0
5.58,83626587.0,119627511.0,27790619.0,29369540.0,1449442.0,13472552.0,15734219.0,86802658.0,82248285.0,23895013.0,724178.0,709816.0,23292694.0,1161257.0,62520806.0,1788513.0,90918573.0,732631.0,4392429.0,657368.0,770706.0,776136.0,2080331.0,16858.0,1542763.0,790804.0,19562.0,0.0,28787548.0
6.390000000000001,86081596.0,124449228.0,31293174.0,28135109.0,918166.0,16104920.0,18888788.0,89362808.0,86339914.0,27949988.0,901742.0,786274.0,27152812.0,1421900.0,66705347.0,1990477.0,93694352.0,716153.0,4315691.0,627458.0,454746.0,455003.0,2331063.0,17086.0,905234.0,484265.0,18906.0,0.0,33733164.0
6.359999999999999,79182512.0,110003204.0,24146536.0,26078996.0,864492.0,15601624.0,17368439.0,81842440.0,79572439.0,25818770.0,829354.0,715814.0,26034890.0,1325054.0,60386600.0,1846702.0,86505934.0,671766.0,4220063.0,581146.0,411384.0,416147.0,2173811.0,13189.0,822758.0,441447.0,8111.0,0.0,31102443.0
9.62,83109275.0,136219373.0,45467942.0,29567499.0,1005132.0,17814636.0,18730556.0,84046571.0,81021988.0,28024083.0,976366.0,913862.0,29262188.0,1441929.0,66031533.0,1944824.0,89159080.0,720363.0,4805596.0,746126.0,502681.0,536748.0,2362602.0,55884.0,1076986.0,571569.0,70818.0,0.0,33122807.0
10.08,83481504.0,125165056.0,32638891.0,28379966.0,932684.0,16924642.0,18680013.0,87834994.0,84645148.0,27994068.0,872657.0,777315.0,28370989.0,1419007.0,64509670.0,2030826.0,93291283.0,717333.0,4497799.0,588230.0,415504.0,422473.0,2317894.0,18350.0,819016.0,447472.0,20280.0,0.0,33544599.0
4.78,76253113.0,56446372.0,7529843.0,5961198.0,209809.0,5120801.0,4212482.0,77291953.0,70598750.0,9127270.0,192405.0,133657.0,10946992.0,291469.0,34311319.0,277738.0,45723347.0,149315.0,1686849.0,146653.0,86361.0,87167.0,296485.0,2330.0,122817.0,85670.0,6522.0,0.0,10916933.0
4.94,94660657.0,57077467.0,2683251.0,486992.0,38283.0,2215081.0,2288536.0,94105794.0,94593111.0,7270802.0,65591.0,98835.0,7463542.0,60509.0,49528558.0,25151.0,50180789.0,28691.0,259321.0,110725.0,12159.0,35921.0,90491.0,185.0,48737.0,32480.0,61.0,0.0,9165837.0
19.95,99033726.0,209716569.0,142126826.0,1409165.0,173982.0,8012091.0,9343488.0,98772909.0,106636322.0,18260459.0,618304.0,887644.0,19178139.0,513199.0,70960938.0,33619.0,61251417.0,36365.0,1689176.0,868643.0,582327.0,617800.0,597669.0,169173.0,1280712.0,631688.0,392083.0,0.0,22829350.0
26.11,78431170.0,236727482.0,172856581.0,9663692.0,393713.0,12819677.0,16542528.0,79973082.0,84060579.0,23172557.0,835014.0,1120682.0,25008715.0,1666537.0,46836293.0,274375.0,62164193.0,552739.0,2160289.0,1048388.0,804064.0,871988.0,2379971.0,227399.0,1702279.0,862158.0,509834.0,0.0,31213841.0
36.26,80355387.0,140322774.0,36500974.0,41003746.0,2115625.0,17827450.0,18000781.0,84046821.0,77840179.0,28723399.0,1154359.0,1151964.0,31470088.0,1545511.0,75777829.0,2279729.0,111224873.0,1120359.0,6005401.0,1346366.0,1622798.0,1527697.0,2648765.0,40283.0,2906884.0,1437508.0,44465.0,0.0,36281631.0
24.62,83407422.0,141930696.0,32760582.0,43852607.0,2237135.0,14277500.0,16381110.0,88178221.0,85556662.0,24357747.0,869727.0,881593.0,25715403.0,1378303.0,70868203.0,2433919.0,111838917.0,1119731.0,5552244.0,893621.0,1333383.0,1337982.0,2506591.0,27791.0,2630217.0,1307299.0,28295.0,0.0,30727277.0
26.2,82334232.0,146844229.0,37614857.0,42982868.0,2365995.0,15498869.0,18128691.0,87512553.0,80958721.0,25575121.0,865344.0,964677.0,25693137.0,1514384.0,71186511.0,2425608.0,110276242.0,1198620.0,5521781.0,953474.0,1283089.0,1263655.0,2644330.0,27575.0,2508782.0,1179330.0,20717.0,0.0,31867443.0
25.44,83046366.0,136012415.0,36155469.0,36035844.0,1987782.0,15170255.0,16274504.0,86462169.0,77924480.0,22466228.0,857318.0,943660.0,22916420.0,1232114.0,69138979.0,2002656.0,100270314.0,942026.0,4861144.0,1006952.0,1150662.0,1202179.0,2269141.0,29174.0,2328204.0,1119183.0,33631.0,0.0,28199461.0
35.18,81165992.0,156350126.0,43416931.0,50238522.0,2435252.0,16379110.0,17759703.0,85351662.0,85423938.0,26879535.0,1059908.0,1084514.0,28749403.0,1706289.0,78394410.0,2695120.0,115886989.0,1249534.0,6440798.0,1174096.0,1704246.0,1793991.0,3211907.0,69115.0,3484609.0,1712946.0,38218.0,0.0,34504439.0
26.28,80166753.0,128190511.0,38018585.0,27016633.0,1543215.0,13965007.0,16163080.0,83143409.0,80173664.0,26102173.0,1053440.0,1225174.0,28139773.0,2010465.0,63572343.0,1622277.0,90762764.0,955223.0,4385816.0,1248798.0,907309.0,899079.0,3102615.0,75858.0,1763065.0,1035809.0,22139.0,0.0,33303797.0
30.61,86623593.0,138221514.0,42671029.0,28954861.0,1491680.0,15836472.0,18051484.0,91296062.0,85495252.0,27535590.0,984018.0,1216987.0,28597257.0,1764931.0,69643444.0,1688119.0,92828483.0,1015297.0,4558857.0,1214263.0,1173397.0,1177721.0,2993155.0,111861.0,2259144.0,1099903.0,43911.0,0.0,34874229.0
25.65,84710324.0,105421089.0,36776073.0,14885952.0,690409.0,15608708.0,17259411.0,77929137.0,87261215.0,21496257.0,474835.0,912848.0,23349370.0,1170874.0,56141367.0,678309.0,72008085.0,533792.0,2947247.0,752026.0,627152.0,706929.0,1809384.0,42854.0,1544183.0,805337.0,107409.0,0.0,27259434.0
33.629999999999995,85186359.0,142713547.0,44893823.0,31406799.0,1797884.0,15852777.0,18159312.0,90313487.0,86960805.0,27185236.0,1122451.0,1361332.0,29334206.0,1808023.0,67055487.0,1820286.0,90865677.0,938615.0,5033977.0,1343065.0,1347663.0,1336814.0,2930822.0,116258.0,2854031.0,1399060.0,32167.0,0.0,34641952.0
