time,instruction,cpu-cycle,armv8_pmuv3/stall_backen,armv8_pmuv3/stall_fronten,armv8_pmuv3/br_mis_pre,armv8_pmuv3/br_pre,armv8_pmuv3/br_retire,armv8_pmuv3/inst_spe,armv8_pmuv3/inst_retire,armv8_pmuv3/l1d_cach,armv8_pmuv3/l1d_cache_refil,armv8_pmuv3/l1d_cache_w,armv8_pmuv3/l1d_tl,armv8_pmuv3/l1d_tlb_refil,armv8_pmuv3/l1i_cach,armv8_pmuv3/l1i_cache_refil,armv8_pmuv3/l1i_tl,armv8_pmuv3/l1i_tlb_refil,armv8_pmuv3/l2d_cach,armv8_pmuv3/l2d_cache_allocat,armv8_pmuv3/l2d_cache_refil,armv8_pmuv3/l2d_cache_w,armv8_pmuv3/l2d_tl,armv8_pmuv3/l2d_tlb_refil,armv8_pmuv3/l3d_cach,armv8_pmuv3/l3d_cache_allocat,armv8_pmuv3/l3d_cache_refil,armv8_pmuv3/l3d_cache_w,armv8_pmuv3/mem_acces
1.27,199529977.0,108026330.0,17270219.0,51071739.0,2513164.0,79512855.0,71885299.0,408356989.0,322013428.0,121938749.0,1370256.0,737352.0,129526359.0,1367386.0,106740903.0,5115451.0,85942425.0,1291072.0,8654468.0,7315.0,2103309.0,3882649.0,2922232.0,35032.0,7909174.0,3806444.0,254790.0,0.0,122259237.0
2.25,191540763.0,105359592.0,25128761.0,19898420.0,907598.0,73727468.0,68447253.0,366252075.0,327615857.0,120438002.0,894672.0,466500.0,125212506.0,1711942.0,88534426.0,2358170.0,61258735.0,833998.0,4718636.0,2833.0,791795.0,1285911.0,2658664.0,32100.0,2773848.0,1283923.0,229250.0,0.0,119180632.0
2.5700000000000003,218523157.0,92348395.0,42281617.0,4427529.0,256332.0,25400401.0,21969828.0,246854801.0,227574497.0,46288428.0,465531.0,246529.0,48007545.0,560560.0,48680378.0,403437.0,13908645.0,163810.0,1650607.0,31.0,297422.0,699287.0,803116.0,50737.0,1195623.0,671831.0,526876.0,0.0,45713905.0
2.25,212955408.0,70503678.0,57311813.0,2174597.0,145138.0,16296403.0,11669224.0,65369877.0,63459988.0,22266872.0,633399.0,393508.0,24588651.0,386831.0,14678465.0,17832.0,2718121.0,1160.0,1792542.0,15.0,496706.0,1176219.0,446085.0,141925.0,2420104.0,1169646.0,875596.0,0.0,23464614.0
5.83,230730742.0,162750402.0,52602545.0,10470264.0,481744.0,32266829.0,35393002.0,301844780.0,267127970.0,73647478.0,931148.0,538342.0,82557513.0,612775.0,64776075.0,687395.0,31954501.0,121606.0,2961991.0,1580.0,755722.0,1637156.0,831041.0,127129.0,3518816.0,1586372.0,739532.0,0.0,77052574.0
10.46,224609108.0,111575494.0,23025643.0,42731100.0,2009238.0,64880706.0,58708547.0,350603725.0,284538842.0,112199449.0,1154725.0,648462.0,118717491.0,1229891.0,92089055.0,4554807.0,77683633.0,1191175.0,7720516.0,3482.0,1761461.0,2841053.0,2598409.0,61296.0,6623463.0,2958652.0,363770.0,0.0,107572721.0
11.63,204592446.0,120460769.0,37841983.0,40129833.0,1778134.0,66603727.0,64329780.0,355221880.0,272626801.0,112310645.0,1484134.0,839795.0,118984342.0,1971952.0,88457486.0,3564161.0,69186520.0,718227.0,7643311.0,12136.0,2254338.0,4536509.0,2601197.0,149046.0,8559300.0,4489588.0,882015.0,0.0,115369163.0
13.86,221826899.0,128900811.0,56323118.0,24842350.0,1148952.0,77071379.0,67849893.0,407316157.0,345347728.0,148654677.0,2678968.0,1200799.0,161035339.0,3074438.0,95593289.0,1710399.0,61043671.0,386649.0,8175792.0,2899.0,1992452.0,5456529.0,3968261.0,269633.0,11411035.0,5455250.0,875084.0,0.0,146434701.0
12.73,195415489.0,107449126.0,27020392.0,26078634.0,1172939.0,57205676.0,51677890.0,299488334.0,244008412.0,101765498.0,909350.0,573602.0,113089990.0,1219560.0,75350634.0,2193843.0,51386903.0,491952.0,4623815.0,5202.0,1114572.0,2144186.0,1724752.0,79072.0,5144335.0,2076519.0,371165.0,0.0,100945438.0
11.129999999999999,220699511.0,110145126.0,11476848.0,30381831.0,1456711.0,47069640.0,45350527.0,248423936.0,200780925.0,80830654.0,744199.0,487362.0,86161338.0,796105.0,66107418.0,2846431.0,55277289.0,748923.0,4999004.0,5595.0,1218191.0,2261127.0,1726308.0,20141.0,4518824.0,2196939.0,219355.0,0.0,80385882.0
