workload,model,frequency,horizon,timesteps,suite,het_prob,status,rmse,max,mpe,exp_var,mape,r2_score,train_rmse,train_max,train_mpe,train_exp_var,train_mape,train_r2_score
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.2,Success,2157089.74089648,4857752.196193267,11.164768500532075,0.0,11.798544453400329,-1.582781104572403,4312448.931217651,18431799.298892986,-28.85035971999205,0.22637826050900123,49.82908324750081,0.22637826050900134
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.2,Success,2286108.832552035,5320438.943661973,12.094220855060675,-0.06272275150169263,12.643416948630094,-1.9076825445396473,4406383.400988164,18579185.48275862,-29.559092109966258,0.1927727103878068,51.157252640448036,0.1927727103878068
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.2,Success,2309997.812192533,5690690.500000002,12.406093045004516,-0.03394631779334778,12.868903203734746,-1.9688795247919242,4487177.861763575,19014121.731927708,-30.362386153000465,0.16297063669663045,52.46291240343193,0.1629706366966305
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.2,Success,1678307.1092739752,4260591.0,1.9643025706763313,-0.47364132441138196,9.349427827218264,-0.5634861639065105,4814698.718881318,19064425.0,-47.84556793189421,0.16056096532044328,57.678524813797964,0.03568489961579768
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.2,Success,1886144.15408295,5057084.0,5.077714024477866,-0.5357786983022887,10.527639728222692,-0.9793310424495548,4837487.345606262,18943458.0,-44.64231956889664,0.10487033082374826,57.72366950545096,0.027094096230752318
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.2,Success,1882548.1337772142,5085997.0,6.2215230988385,-0.38612991045715905,10.458838708892664,-0.9721883190516929,4874218.067439211,19430547.0,-44.8919638064287,0.08324182696937725,58.876585398807514,0.01234748366575611
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.4,Success,4138762.758883473,7591916.547619054,26.48100662679979,-0.3766344246967883,26.570590662594423,-8.50806712314862,5010248.881940775,20270041.75572519,-40.75874128104763,0.12046463556445386,69.8355921129589,0.12046463556445397
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.4,Success,3940914.779284627,9604540.000000002,25.420336589201167,-0.1014483177028711,25.43825339636009,-7.639052617212348,5031041.677425366,21609534.71784778,-40.972730604906886,0.11312272172363598,69.82435667498105,0.11312272172363595
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.4,Success,3884571.6965494566,9604540.000000002,24.74397272148043,-0.19288438445970285,24.88395110162899,-7.396929747603183,5051756.811489781,21609534.71784778,-41.211266142597,0.10566654284492416,69.90659209184079,0.10566654284492416
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.4,Success,2843545.3260953194,6914973.0,15.725698536005634,-0.4864861699883336,16.21808148998302,-3.4881925902760935,5389313.634775366,21845082.0,-57.34926805561019,0.031137096137975107,78.24994232219458,-0.017657466863593596
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.4,Success,4173779.8447907013,9321504.0,25.166624127171424,-0.3543002304938585,25.37910764025335,-8.684137375582711,5418849.363421209,22803837.0,-46.79745814802878,0.006556464270189921,74.64836227857174,-0.02886487121445693
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.4,Success,3453218.9189967364,8310690.0,19.85841417080822,-0.5326221705621969,20.41692785613945,-5.638648916369361,5413392.546927043,21906377.0,-52.85192971306889,0.00877929424745234,77.36155627130567,-0.026952885285865202
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.6,Success,5857861.577893016,8861400.146067422,39.851336248574725,-0.015083627436491609,39.851336248574725,-18.04712289215601,4969235.401062586,23676970.146067422,-43.74969527203346,0.0832293693462055,72.87375599643687,0.0832293693462054
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.6,Success,5691284.728447119,9603372.222222218,38.394219916002676,-0.11788416045442913,38.394219916002676,-17.01313764127852,4996160.288040385,23676970.146067422,-44.46757771833679,0.07251875594419435,73.27741881326762,0.07251875594419435
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.6,Success,5760783.301980273,9603372.222222218,38.97273398250887,-0.08782580810520418,38.97273398250887,-17.45959508389159,5008343.106694244,23676970.146067422,-44.988467642206544,0.06770858149077738,73.68208596007324,0.06770858149077734
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.6,Success,6749707.2696001455,10429992.0,46.13723659507642,-0.26628984671699607,46.13723659507642,-24.288382404021377,5162125.933564977,24649613.0,-36.37804540547026,0.02297213498699513,69.438127652368,0.010675551940031447
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.6,Success,7887475.024252959,12392399.5,54.35605773262859,-0.11143544261240224,54.35605773262859,-33.59985509242103,5415742.316896968,25007492.5,-20.317439048749623,0.013303897738060955,60.357652917804565,-0.08983622974618774
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.6,Success,7983723.280458067,12590068.5,55.18055722376583,-0.07147403743502181,55.18055722376583,-34.46067728229168,5521455.638477322,26506144.0,-14.227578556308512,0.013281333611926849,57.2358846441321,-0.1331033224471945
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.8,Success,7369087.970273248,12532563.479729734,48.98004031704507,-2.4039931952265,49.11388188830351,-29.142457408304875,4142112.195757847,12883874.077380951,-35.847924920084736,0.07697961641210738,60.0299104749464,0.07697961641210738
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.8,Success,7473940.305184227,12532563.479729734,51.186068897188534,-0.5940640262007748,51.212837211440224,-30.075209836729094,4149931.460027828,13315238.905191872,-36.251219255380356,0.07047140723176051,60.26600554205485,0.07047140723176049
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.8,Success,7451676.181132143,12532563.479729734,51.21256794136976,-0.3504341312981766,51.22710223200078,-29.897579982626564,4168294.357311642,15141188.422330096,-36.776616909006975,0.06248801035903384,60.76938115505069,0.062488010359033806
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.8,Success,8931157.687989354,12211956.0,62.196240008404274,-0.045766440782219364,62.196240008404274,-43.275827672524905,4603555.304472882,14871170.5,-2.889530349884839,0.020874893997333888,43.447206862091086,-0.14012982093409732
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.8,Success,9663898.976841768,13063151.5,67.5021005961313,-0.017457487900437794,67.5021005961313,-50.96290564425698,4638516.230710677,15554285.0,-2.281476987884876,0.011474524419895337,43.64599419333164,-0.16122442136800114
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.8,Success,9272390.42466943,13174825.25,64.64720701960765,-0.01540514868840136,64.64720701960765,-46.84007631659333,4517575.836820372,15474754.5,-9.432635947346437,0.013241420063514775,46.45105038737042,-0.10120950568791069
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,1.0,Success,9939023.023099028,13337503.28358209,69.42986197652826,-0.12903300167703735,69.42986197652826,-53.832565623214016,1833900.10842874,10395690.815602835,-15.04204395970294,0.12821801571656544,34.95116137378508,0.12821801571656521
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,1.0,Success,9569672.449444355,13337503.28358209,66.8320459682683,-0.028282143027953354,66.8320459682683,-49.942377191074705,1859904.7212467613,10884477.174578868,-15.714071143510544,0.10429360489944614,35.73978490380322,0.10429360489944609
