workload,model,frequency,horizon,timesteps,suite,het_prob,status,rmse,max,mpe,exp_var,mape,r2_score,train_rmse,train_max,train_mpe,train_exp_var,train_mape,train_r2_score
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.2,Success,1342441.807937306,3144838.9552669525,-1.0876547315210165,0.0,8.620700376961379,-0.0003272781808114633,1995721.5108101594,17960408.955266953,-2.3073047062317658,0.6568671903483204,11.293456892883123,0.6568671903483203
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.2,Success,1345375.9158325316,3144838.9552669525,-1.5114183190987287,-0.002329677541028241,8.663440235124872,-0.00693869975378143,2225708.3728507194,17960408.955266953,-3.0298686672624657,0.5724667951597202,12.879042236037881,0.5724667951597202
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.2,Success,1344230.3718782857,3168129.2061855644,-1.4730216776548228,-0.0011648387705141205,8.652186489665597,-0.005367611455939047,2386253.9167612316,17960408.955266953,-3.60389730916354,0.5077650974163431,14.089812206662547,0.5077650974163431
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.2,Success,1739201.0297410442,4676018.0,3.4304479504917964,-0.46992806430766376,9.646494169095037,-0.6790001756717723,2370756.8980673845,19488988.0,1.4856520185968023,0.5448829651055866,12.563511842783617,0.5157870330899077
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.2,Success,1617211.4305322364,4242802.0,-0.38834268671040084,-0.4431231520207962,9.549863102051885,-0.45491291206648843,2522429.894038326,18581949.0,-4.481069255295566,0.45277757948930486,14.893259558315176,0.45090050113073427
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.2,Success,1567379.0890659029,4355834.0,-1.4511982975564346,-0.3000899509102749,9.398549895615485,-0.3669837234214578,2735598.0217295634,18925227.0,-7.249832260426438,0.37595716289091213,17.05001597539043,0.35307964353463467
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.4,Success,1344027.157409545,3099488.9556868523,-1.4120420823528275,0.0,8.657107182620917,-0.002691335564162678,1970731.8297357524,17915058.955686852,-2.278175619135177,0.6585303805836313,11.237521007524109,0.6585303805836313
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.4,Success,1343036.7826610964,3141703.997010462,-1.4396772267159106,0.0,8.645745387156815,-0.0034468429249725485,2197933.069489771,17915058.955686852,-2.95217770766342,0.5744692645128483,12.683571961577933,0.5744692645128483
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.4,Success,1342996.7786696886,3141703.997010462,-1.4408030042639453,0.0,8.643898952130229,-0.0035292845862739284,2354828.524584463,17915058.955686852,-3.495556627527366,0.5106593446817842,13.82527376882736,0.5106593446817842
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.4,Success,1887142.3909728213,4803296.0,5.941071670669214,-0.4592534654767033,10.272649958092783,-0.9767899045420596,2380325.349671312,19937238.0,3.2911587631038244,0.5549355260543954,12.278066516303314,0.5018390832872315
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.4,Success,1614025.2220918376,4955641.0,1.0134834930049545,-0.3292120940501648,9.420430446085687,-0.4491237437065676,2531169.8215756738,20186282.0,-4.395212463433614,0.44256045788579196,15.328683532886402,0.4356720059799796
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.4,Success,1562795.5209726258,5049588.0,1.166008523964606,-0.2682621017341351,9.159689622536192,-0.3588358584910745,2681790.5074596936,18890493.0,-4.973565268792054,0.37442317515464196,16.40806656825706,0.36536802235119403
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.6,Success,1342283.1960936885,3156323.127507163,-1.0055087503966227,0.0,8.61151834804873,-9.09113160802999e-05,1906114.8508336355,17971893.127507165,-2.1135870457375594,0.6821207541558351,10.732040956831275,0.6821207541558351
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.6,Success,1341626.0152363698,3156323.127507163,-1.2387944809292555,0.0,8.621930057470776,-0.0013411487906409114,2170924.5514811417,17971893.127507165,-2.9429357738235824,0.5869100108683508,12.51899732912732,0.5869100108683508
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.6,Success,1342450.7127783298,3199280.4527439047,-1.2962227647149096,0.0,8.627749882203144,-0.002713131981376726,2327748.9284719015,17971893.127507165,-3.482671577393025,0.5242955800005816,13.658139768479971,0.5242955800005816
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.6,Success,1461162.7490229039,3611319.0,-0.8269406901719097,-0.18494341834686168,8.93464044478075,-0.18508187875919746,2584819.4878908712,21735346.0,-9.039115827812779,0.44161889474023175,17.187373033871214,0.4154462073536094
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.6,Success,1600599.5747450688,4947812.0,-0.25398067006513736,-0.36484742330538195,9.449953712726863,-0.42522138346863264,2510084.9140250054,19752333.0,-5.461199603848378,0.4583828799941266,15.17898782762714,0.4477544735751328
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.6,Success,1532079.7790032506,4696734.0,-0.3357887158737906,-0.24843771327001352,9.168579129717827,-0.3061281900978474,2676483.057051913,19176967.0,-6.688033522836424,0.3837535988978845,16.714431609118115,0.37107629430502953
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,0.8,Success,1342238.2395787772,3175685.586726997,-0.8670095903069511,0.0,8.596037331510681,-2.392120672767284e-05,1875483.733586145,11726279.586726997,-2.118096904641843,0.6769859548553339,10.838887606989658,0.6769859548553339
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,5,5,dacapo,0.8,Success,1344953.9389231785,3175685.586726997,-1.564369312083652,0.0,8.66344561784546,-0.006314540661888968,2160405.853824874,11726279.586726997,-2.969024300370629,0.5706702071644091,12.575534952544858,0.5706702071644091
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,10,5,dacapo,0.8,Success,1346187.2940323192,3175685.586726997,-1.7086021251561976,0.0,8.68030334954664,-0.00830396017284929,2307398.2950435947,11726279.586726997,-3.4719618340971365,0.5094717732100609,13.644933322338016,0.5094717732100609
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,1,5,dacapo,0.8,Success,1929431.6843073154,5260543.0,5.641908103457214,-0.5886822456729977,10.352139780105968,-1.0663790301327563,2291999.8062969767,14432066.0,3.1939343893781205,0.5629733023020871,11.858194369208624,0.5175814975909778
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,5,5,dacapo,0.8,Success,1593164.6586905005,4141919.0,0.09076748009207639,-0.35620590130499913,9.418973770505012,-0.4118777838013633,2450393.580230801,13285624.0,-4.904188743291688,0.4545840667357105,14.929258066986842,0.44768867632446085
aligned_dacapo_avrora_1.0GHz_cpu16,mlp,1.0,10,5,dacapo,0.8,Success,1531646.306449431,4644745.0,-0.029253275706506175,-0.2530334419163659,9.090169570412325,-0.3052689356490427,2614292.327792995,13514276.0,-5.9037996609366585,0.3821641956955825,16.16879440472331,0.370312642184152
aligned_dacapo_avrora_1.0GHz_cpu16,dt,1.0,1,5,dacapo,1.0,Success,1344464.168027071,3170082.4358578045,-0.7858945019596592,-0.003179642542324501,8.625099114149796,-0.003343492026284478,1845930.8139069253,13376478.435857804,-2.0583117311502717,0.6828845927420093,10.382143665271334,0.6828845927420093
